bytes_in,bytes_out,total_bytes,bytes_out_in_ratio,creation_time_dt,end_time_dt,src_ip,is_repeated_src_ip_flag,src_ip_country_code,event_time_dt,attack_hour
26354,13404,39758,0.508613493,2024-04-26 00:00:00,2024-04-26 00:10:00,147.161.161.82,1,AE,2024-04-26 00:00:00,0
33777,20132,53909,0.596026882,2024-04-26 00:00:00,2024-04-26 00:10:00,165.225.33.6,1,US,2024-04-26 00:00:00,0
28762,43272,72034,1.504485084,2024-04-26 00:00:00,2024-04-26 00:10:00,136.226.67.101,1,US,2024-04-26 00:00:00,0
28478,13260,41738,0.465622586,2024-04-26 00:00:00,2024-04-26 00:10:00,165.225.212.255,1,CA,2024-04-26 00:00:00,0
4288,11490,15778,2.679570896,2024-04-26 00:00:00,2024-04-26 00:10:00,94.188.248.74,1,IL,2024-04-26 00:00:00,0
8874,14968,23842,1.686725265,2024-04-26 00:00:00,2024-04-26 00:10:00,165.225.26.101,1,DE,2024-04-26 00:00:00,0
4793434,292176,5085610,0.060953379,2024-04-26 00:00:00,2024-04-26 00:10:00,155.91.45.242,1,US,2024-04-26 00:00:00,0
16948,20348,37296,1.200613642,2024-04-26 00:00:00,2024-04-26 00:10:00,165.225.209.4,1,CA,2024-04-26 00:00:00,0
5810,13090,18900,2.253012048,2024-04-26 00:10:00,2024-04-26 00:20:00,147.161.161.82,1,AE,2024-04-26 00:10:00,0
28730,28386,57116,0.988026453,2024-04-26 00:10:00,2024-04-26 00:20:00,136.226.67.101,1,US,2024-04-26 00:10:00,0
29002,15654,44656,0.539755879,2024-04-26 00:10:00,2024-04-26 00:20:00,165.225.213.7,1,CA,2024-04-26 00:10:00,0
44270,21924,66194,0.495233793,2024-04-26 00:10:00,2024-04-26 00:20:00,136.226.64.114,1,US,2024-04-26 00:10:00,0
2019990,55292,2075282,0.027372413,2024-04-26 00:10:00,2024-04-26 00:20:00,165.225.240.79,1,NL,2024-04-26 00:10:00,0
3498,2800,6298,0.800457404,2024-04-26 00:10:00,2024-04-26 00:20:00,94.188.248.74,1,IL,2024-04-26 00:10:00,0
16698,26610,43308,1.593604024,2024-04-26 00:10:00,2024-04-26 00:20:00,165.225.26.101,1,DE,2024-04-26 00:10:00,0
4794053,290955,5085008,0.060690818,2024-04-26 00:10:00,2024-04-26 00:20:00,155.91.45.242,1,US,2024-04-26 00:10:00,0
6606,12794,19400,1.93672419,2024-04-26 00:10:00,2024-04-26 00:20:00,165.225.209.4,1,CA,2024-04-26 00:10:00,0
9910,14760,24670,1.489404642,2024-04-26 00:10:00,2024-04-26 00:20:00,147.161.131.1,1,AT,2024-04-26 00:10:00,0
26250,13404,39654,0.510628571,2024-04-26 00:20:00,2024-04-26 00:30:00,147.161.161.82,1,AE,2024-04-26 00:20:00,0
21448,32494,53942,1.515013055,2024-04-26 00:20:00,2024-04-26 00:30:00,136.226.67.101,1,US,2024-04-26 00:20:00,0
28524,13364,41888,0.468517739,2024-04-26 00:20:00,2024-04-26 00:30:00,165.225.212.255,1,CA,2024-04-26 00:20:00,0
9600,22230,31830,2.315625,2024-04-26 00:20:00,2024-04-26 00:30:00,165.225.240.79,1,NL,2024-04-26 00:20:00,0
7786,14138,21924,1.815823273,2024-04-26 00:20:00,2024-04-26 00:30:00,94.188.248.74,1,IL,2024-04-26 00:20:00,0
33662,9572,43234,0.284356247,2024-04-26 00:20:00,2024-04-26 00:30:00,136.226.77.103,1,CA,2024-04-26 00:20:00,0
6480,11794,18274,1.820061728,2024-04-26 00:20:00,2024-04-26 00:30:00,165.225.26.101,1,DE,2024-04-26 00:20:00,0
16698,19255,35953,1.153132112,2024-04-26 00:20:00,2024-04-26 00:30:00,165.225.209.4,1,CA,2024-04-26 00:20:00,0
4018,3144,7162,0.782478845,2024-04-26 00:30:00,2024-04-26 00:40:00,147.161.161.82,1,AE,2024-04-26 00:30:00,0
38560,34470,73030,0.893931535,2024-04-26 00:30:00,2024-04-26 00:40:00,136.226.67.101,1,US,2024-04-26 00:30:00,0
57088,12210,69298,0.213880325,2024-04-26 00:30:00,2024-04-26 00:40:00,165.225.212.255,1,CA,2024-04-26 00:30:00,0
1215594,64362,1279956,0.052946954,2024-04-26 00:30:00,2024-04-26 00:40:00,165.225.240.79,1,NL,2024-04-26 00:30:00,0
3514,2648,6162,0.7535572,2024-04-26 00:30:00,2024-04-26 00:40:00,94.188.248.74,1,IL,2024-04-26 00:30:00,0
13338,17636,30974,1.322237217,2024-04-26 00:30:00,2024-04-26 00:40:00,165.225.26.101,1,DE,2024-04-26 00:30:00,0
4803684,294875,5098559,0.061385179,2024-04-26 00:30:00,2024-04-26 00:40:00,155.91.45.242,1,US,2024-04-26 00:30:00,0
13132,18249,31381,1.389658849,2024-04-26 00:30:00,2024-04-26 00:40:00,165.225.209.4,1,CA,2024-04-26 00:30:00,0
5238,11674,16912,2.228713249,2024-04-26 00:30:00,2024-04-26 00:40:00,147.161.131.1,1,AT,2024-04-26 00:30:00,0
9052,5162,14214,0.570260716,2024-04-26 00:40:00,2024-04-26 00:50:00,165.225.33.6,1,US,2024-04-26 00:40:00,0
31076,39744,70820,1.278929077,2024-04-26 00:40:00,2024-04-26 00:50:00,136.226.67.101,1,US,2024-04-26 00:40:00,0
28518,13366,41884,0.468686444,2024-04-26 00:40:00,2024-04-26 00:50:00,165.225.212.255,1,CA,2024-04-26 00:40:00,0
43660,12924,56584,0.296014659,2024-04-26 00:40:00,2024-04-26 00:50:00,136.226.64.114,1,US,2024-04-26 00:40:00,0
26820,45260,72080,1.687546607,2024-04-26 00:40:00,2024-04-26 00:50:00,165.225.240.79,1,NL,2024-04-26 00:40:00,0
3206,11038,14244,3.442919526,2024-04-26 00:40:00,2024-04-26 00:50:00,165.225.8.79,1,US,2024-04-26 00:40:00,0
35894,10094,45988,0.281216916,2024-04-26 00:40:00,2024-04-26 00:50:00,136.226.77.103,1,CA,2024-04-26 00:40:00,0
9132,5756,14888,0.630310994,2024-04-26 00:40:00,2024-04-26 00:50:00,165.225.26.101,1,DE,2024-04-26 00:40:00,0
4801644,292969,5094613,0.061014311,2024-04-26 00:40:00,2024-04-26 00:50:00,155.91.45.242,1,US,2024-04-26 00:40:00,0
22790,40397,63187,1.772575691,2024-04-26 00:40:00,2024-04-26 00:50:00,165.225.209.4,1,CA,2024-04-26 00:40:00,0
29040,16476,45516,0.567355372,2024-04-26 00:50:00,2024-04-26 01:00:00,165.225.33.6,1,US,2024-04-26 00:50:00,0
27938,4626,32564,0.165580929,2024-04-26 00:50:00,2024-04-26 01:00:00,165.225.212.255,1,CA,2024-04-26 00:50:00,0
34660,10044,44704,0.289786497,2024-04-26 00:50:00,2024-04-26 01:00:00,136.226.77.103,1,CA,2024-04-26 00:50:00,0
5238,11776,17014,2.248186331,2024-04-26 00:50:00,2024-04-26 01:00:00,165.225.26.101,1,DE,2024-04-26 00:50:00,0
4809606,290761,5100367,0.060454224,2024-04-26 00:50:00,2024-04-26 01:00:00,155.91.45.242,1,US,2024-04-26 00:50:00,0
6742,13419,20161,1.990358944,2024-04-26 00:50:00,2024-04-26 01:00:00,165.225.209.4,1,CA,2024-04-26 00:50:00,0
4138,3144,7282,0.759787337,2024-04-26 01:00:00,2024-04-26 01:10:00,147.161.161.82,1,AE,2024-04-26 01:00:00,1
10262,16182,26444,1.576885597,2024-04-26 01:00:00,2024-04-26 01:10:00,136.226.67.101,1,US,2024-04-26 01:00:00,1
28048,4730,32778,0.168639475,2024-04-26 01:00:00,2024-04-26 01:10:00,165.225.212.255,1,CA,2024-04-26 01:00:00,1
4064,11386,15450,2.801673228,2024-04-26 01:00:00,2024-04-26 01:10:00,94.188.248.74,1,IL,2024-04-26 01:00:00,1
47774,23406,71180,0.489931762,2024-04-26 01:00:00,2024-04-26 01:10:00,136.226.77.103,1,CA,2024-04-26 01:00:00,1
3326,11038,14364,3.318701143,2024-04-26 01:00:00,2024-04-26 01:10:00,165.225.8.79,1,US,2024-04-26 01:00:00,1
9336,23450,32786,2.511782348,2024-04-26 01:00:00,2024-04-26 01:10:00,165.225.26.101,1,DE,2024-04-26 01:00:00,1
4827283,306181,5133464,0.063427191,2024-04-26 01:00:00,2024-04-26 01:10:00,155.91.45.242,1,US,2024-04-26 01:00:00,1
10830,23370,34200,2.157894737,2024-04-26 01:00:00,2024-04-26 01:10:00,165.225.209.4,1,CA,2024-04-26 01:00:00,1
9806,14344,24150,1.462777891,2024-04-26 01:00:00,2024-04-26 01:10:00,147.161.131.1,1,AT,2024-04-26 01:00:00,1
16062,27514,43576,1.712987175,2024-04-26 01:10:00,2024-04-26 01:20:00,136.226.67.101,1,US,2024-04-26 01:10:00,1
29010,15550,44560,0.536022061,2024-04-26 01:10:00,2024-04-26 01:20:00,165.225.213.7,1,CA,2024-04-26 01:10:00,1
3722,2694,6416,0.723804406,2024-04-26 01:10:00,2024-04-26 01:20:00,94.188.248.74,1,IL,2024-04-26 01:10:00,1
7182,12958,20140,1.804232804,2024-04-26 01:10:00,2024-04-26 01:20:00,136.226.77.103,1,CA,2024-04-26 01:10:00,1
3102,11142,14244,3.591876209,2024-04-26 01:10:00,2024-04-26 01:20:00,165.225.8.79,1,US,2024-04-26 01:10:00,1
10012,14968,24980,1.495005993,2024-04-26 01:10:00,2024-04-26 01:20:00,165.225.26.101,1,DE,2024-04-26 01:10:00,1
